epoch,loss
1,359.3755452632904
2,216.19168746471405
3,178.10604679584503
4,165.91821789741516
5,157.5956425666809
6,149.61411333084106
7,142.7853432893753
8,137.25625532865524
9,132.2427384853363
10,127.4526299238205
11,123.30195075273514
12,119.07589399814606
13,115.73517966270447
14,112.7890015244484
15,109.63370460271835
16,106.85192888975143
17,104.40431678295135
18,102.0438215136528
19,99.55429196357727
20,97.24429339170456
21,94.83099812269211
22,93.33781886100769
23,90.94638311862946
24,89.07819229364395
25,87.22680217027664
26,85.36599618196487
27,83.8420575261116
28,81.9787425994873
29,80.11268895864487
30,79.04869642853737
31,77.02871960401535
32,75.59133976697922
33,74.0018679201603
34,72.61855548620224
35,71.82517698407173
36,70.39439585804939
37,69.03118121623993
38,67.89104294776917
39,66.27402889728546
40,65.39867168664932
41,64.36863866448402
42,63.41738051176071
43,62.16625660657883
44,61.32994043827057
45,60.172875344753265
46,59.285180032253265
47,58.00966891646385
48,57.466815531253815
49,56.547386556863785
50,55.58391919732094
51,54.73004695773125
52,53.81241595745087
53,52.89689761400223
54,51.9644929766655
55,51.25162282586098
56,50.49522748589516
57,49.69668719172478
58,49.040808975696564
59,48.63890981674194
60,48.36084148287773
61,47.19078543782234
62,46.58855241537094
63,46.09540614485741
64,45.28916382789612
65,44.70508894324303
66,44.38575732707977
67,43.772934943437576
68,42.911304742097855
69,42.54866214096546
70,42.039420902729034
71,41.48750340938568
72,41.3136702477932
73,40.63879892230034
74,40.146208092570305
75,39.55562523007393
76,39.53026220202446
77,38.62592686712742
78,38.4303260743618
79,37.76356142759323
80,37.923429891467094
81,37.72652830183506
82,37.03073897957802
83,36.35574074089527
84,36.131771966814995
85,35.61900940537453
86,35.560578629374504
87,35.42547369003296
88,34.521570190787315
89,34.80438952147961
90,34.25370071828365
91,33.77704368531704
92,33.77527895569801
93,33.37776643037796
94,33.44619479775429
95,33.17880669236183
96,32.197005555033684
97,32.2378850877285
98,31.767349138855934
99,31.286581575870514
100,31.39778308570385
